nama_makanan,label,energi_kkal,protein_g,lemak_g,karbohidrat_g
Belitung talas kukus,Lauk Pauk,145,1.2,0.4,34.2
Belut goreng,Lauk Pauk,417,25.9,19.4,32.0
Belut segar,Lauk Pauk,70,14.6,0.8,1.0
Belutlaut segar,Lauk Pauk,93,12.8,1.5,6.1
Bengkuang,Lauk Pauk,55,1.4,0.2,12.8
Bentul (Komba)  talas segar,Lauk Pauk,98,1.6,0.7,20.9
Bentul talas kukus,Lauk Pauk,71,2.3,0.3,15.4
Beras Cerdas,Makanan Pokok,350,2.7,1.1,82.3
Beras ganyong,Makanan Pokok,364,3.4,0.7,86.3
Beras Giling,Makanan Pokok,360,6.8,0.7,78.9
Beras Giling masak (nasi) ,Makanan Pokok,178,2.1,0.1,40.6
Beras giling mentah,Makanan Pokok,357,8.4,1.7,77.1
Beras giling var pelita mentah,Makanan Pokok,369,9.5,1.4,77.1
Beras giling var rojolele mentah,Makanan Pokok,357,8.4,1.7,77.1
Beras hitam mentah,Makanan Pokok,351,8.0,1.3,76.9
Beras jagung kuning kering mentah,Makanan Pokok,358,5.5,0.1,82.7
Beras jagung putih kering mentah,Makanan Pokok,307,4.8,0.1,71.8
Beras Ketan Hitam,Makanan Pokok,356,7.0,0.7,78.0
Beras Ketan Hitam kukus,Makanan Pokok,181,4.0,1.2,37.3
Beras Ketan Hitam tape,Makanan Pokok,166,3.8,1.0,34.4
Beras Ketan Hitam tumbuk,Makanan Pokok,360,8.0,2.3,74.5
Beras ketan hitam tumbuk mentah,Makanan Pokok,360,8.0,2.3,74.5
Beras Ketan Putih,Makanan Pokok,362,6.7,0.7,79.4
Beras Ketan Putih kukus,Makanan Pokok,163,3.0,0.4,35.7
Beras Ketan Putih tape,Makanan Pokok,172,3.0,0.5,37.5
Beras Ketan Putih tumbuk,Makanan Pokok,361,7.4,0.8,78.4
Beras ketan putih tumbuk mentah,Makanan Pokok,361,7.4,0.8,78.4
Beras ladang mentah,Makanan Pokok,376,7.5,3.8,78.0
Beras Menir,Makanan Pokok,339,7.7,4.4,73.0
Beras menir mentah,Makanan Pokok,362,7.7,4.4,73.0
Beras Merah tumbuk,Makanan Pokok,359,7.5,0.9,77.6
Beras Parboiled,Makanan Pokok,364,6.8,0.6,80.1
Beras parboiled,Makanan Pokok,353,6.8,0.6,80.0
Beras Pecah Kulit,Makanan Pokok,335,7.4,1.9,76.2
Beras Setengah Giling,Makanan Pokok,363,7.6,1.1,78.3
Beras Siger,Makanan Pokok,344,1.1,0.2,28.3
Beras tumbuk mentah,Makanan Pokok,354,7.8,0.4,79.9
Beras tumbuk merah mentah,Makanan Pokok,352,7.3,0.9,76.2
Betok wadi masakan,Lauk Pauk,145,16.3,7.0,4.1
Bihun,Lauk Pauk,360,4.7,0.1,82.1
Bihun Goreng ,Lauk Pauk,154,3.0,4.5,25.5
Bihun goreng instan,Lauk Pauk,381,6.1,3.9,80.3
Bihun Jagung mentah,Makanan Pokok,354,0.5,0.3,87.4
Bihun mentah,Lauk Pauk,348,4.7,0.1,82.1
Biji Jambu Mete,Lauk Pauk,562,21.2,49.6,23.6
Biji Jambu Mete goreng,Lauk Pauk,629,21.5,56.6,19.8
Biji nangka/Biji salak,Lauk Pauk,262,2.3,5.4,51.1
Bika ambon,Lauk Pauk,199,2.1,1.5,44.4
Bika Ambon ,Lauk Pauk,225,3.0,0.3,52.9
Bir (4% alkohol),Lauk Pauk,48,0.6,0.0,4.4
Biskuit,Makanan Ringan,458,6.9,14.4,75.1
Bit,Lauk Pauk,42,1.6,0.1,9.6
Biwah segar,Lauk Pauk,51,0.3,0.1,12.1
Bonggol Pisang,Buah,43,2.6,0.0,11.6
Bonggol Pisang kering,Buah,245,3.4,0.0,66.2
Bongkrek (tempe bungkil),Lauk Pauk,119,4.4,3.5,18.3
Boros Kunci,Lauk Pauk,23,1.0,0.8,7.2
Boros Laja (lengkuas),Lauk Pauk,22,1.0,0.3,4.7
Botok lamtoro,Lauk Pauk,186,11.7,9.7,13.0
Brem,Lauk Pauk,249,3.4,0.4,58.0
Brondong ,Lauk Pauk,400,4.0,0.7,95.3
Brongkos,Lauk Pauk,141,15.3,3.3,12.6
Buah Atung,Buah,23,0.8,0.2,5.2
Buah kelenting segar,Buah,110,1.4,2.1,21.4
Buah kelor,Buah,38,1.5,0.2,7.5
Buah kom segar,Buah,264,4.0,1.1,59.6
Buah Mentega (bisbul),Buah,39,0.7,0.2,9.7
Buah merah,Buah,87,2.6,2.7,13.1
Buah Naga Merah segar,Buah,71,1.7,3.1,9.1
Buah Naga Putih segar,Buah,56,0.8,1.0,10.9
Buah negri segar,Buah,55,1.2,0.1,12.2
Buah Nona,Buah,101,1.7,0.6,25.2
Buah rotan segar,Buah,78,0.6,0.3,18.2
Buah rukam segar,Buah,113,0.8,0.3,26.8
Buah ruruhi segar,Buah,29,2.1,0.7,3.6
Buah tuppa segar,Buah,67,0.4,0.2,15.9
Buaya daging dendeng mentah,Lauk Pauk,365,49.6,4.8,30.8
Bubur ,Lauk Pauk,60,1.0,60.0,13.0
